order_id,order_date,product_name,category,unit_price,quantity,discount_pct,total_amount,region,country,sales_rep,channel,status
ORD-0001,2024-02-22,Pen Pack,Stationery,9.82,5,0,49.1,East Africa,Uganda,Lilian Osei,Online,Pending
ORD-0002,2024-11-04,Mechanical Keyboard,Office,128.03,2,0,256.06,East Africa,Uganda,Amara Diallo,Retail,Pending
ORD-0003,2024-01-04,Mechanical Keyboard,Office,139.27,10,0,1392.7,West Africa,Ivory Coast,Fatima Hassan,Direct Sales,Completed
ORD-0004,2024-02-19,USB-C Hub,Electronics,48.19,6,0,289.14,West Africa,Ghana,Samuel Mwangi,Wholesale,Pending
ORD-0005,2024-07-12,USB-C Hub,Electronics,54.79,9,0,493.11,East Africa,Rwanda,Kwame Mensah,Wholesale,Pending
ORD-0006,2024-12-04,Cable Organizer,Accessories,17.28,4,15,58.75,North Africa,Libya,David Okonkwo,Wholesale,Completed
ORD-0007,2024-07-05,Screen Cleaner Kit,Accessories,13.22,7,0,92.54,West Africa,Nigeria,Fatima Hassan,Wholesale,Completed
ORD-0008,2024-05-05,Phone Case,Accessories,19.5,10,15,165.75,North Africa,Egypt,Fatima Hassan,Direct Sales,Returned
ORD-0009,2024-01-29,USB-C Hub,Electronics,53.25,6,20,255.6,Central Africa,Congo,David Okonkwo,Online,Completed
ORD-0010,2024-06-10,Mechanical Keyboard,Office,140.58,4,10,506.09,North Africa,Egypt,David Okonkwo,Direct Sales,Returned
ORD-0011,2024-10-14,Cable Organizer,Accessories,17.76,5,0,88.8,Southern Africa,Zimbabwe,Lilian Osei,Wholesale,Pending
ORD-0012,2024-03-11,Mechanical Keyboard,Office,142.94,6,0,857.64,Central Africa,Chad,Lilian Osei,Direct Sales,Completed
ORD-0013,2024-12-14,Portable Charger,Electronics,43.82,3,15,111.74,East Africa,Uganda,Grace Nakato,Online,Returned
ORD-0014,2024-01-06,Mechanical Keyboard,Office,142.43,9,0,1281.87,Central Africa,Chad,Kwame Mensah,Wholesale,Completed
ORD-0015,2024-05-14,Bluetooth Speaker,Electronics,57.02,3,5,162.51,North Africa,Algeria,Lilian Osei,Retail,Pending
ORD-0016,2024-07-10,Cable Organizer,Accessories,17.63,9,10,142.8,East Africa,Tanzania,Fatima Hassan,Online,Pending
ORD-0017,2024-06-06,Laptop Stand,Office,43.26,2,0,86.52,Southern Africa,South Africa,David Okonkwo,Online,Completed
ORD-0018,2024-02-05,Cable Organizer,Accessories,18.4,2,15,31.28,Central Africa,DRC,Lilian Osei,Retail,Completed
ORD-0019,2024-11-06,Pen Pack,Stationery,10.28,3,0,30.84,Southern Africa,Botswana,Grace Nakato,Retail,Pending
ORD-0020,2024-08-12,Portable Charger,Electronics,47.13,7,15,280.42,West Africa,Senegal,Lilian Osei,Direct Sales,Completed
ORD-0021,2024-04-27,Phone Case,Accessories,20.75,6,0,124.5,West Africa,Nigeria,Patrick Nkosi,Retail,Completed
ORD-0022,2024-02-06,Bluetooth Speaker,Electronics,64.73,2,0,129.46,East Africa,Kenya,Lilian Osei,Retail,Completed
ORD-0023,2024-10-19,Pen Pack,Stationery,10.57,9,0,95.13,Southern Africa,Zimbabwe,Patrick Nkosi,Direct Sales,Completed
ORD-0024,2024-08-08,Portable Charger,Electronics,43.39,4,0,173.56,Southern Africa,Mozambique,Samuel Mwangi,Direct Sales,Returned
ORD-0025,2024-02-25,Webcam HD,Electronics,84.73,1,5,80.49,East Africa,Uganda,David Okonkwo,Retail,Completed
ORD-0026,2024-05-07,Desk Lamp,Office,34.7,7,0,242.9,Southern Africa,Zimbabwe,Kwame Mensah,Direct Sales,Pending
ORD-0027,2024-05-01,Bluetooth Speaker,Electronics,65.33,1,0,65.33,East Africa,Ethiopia,Fatima Hassan,Direct Sales,Returned
ORD-0028,2024-07-18,Webcam HD,Electronics,80.54,1,0,80.54,West Africa,Ivory Coast,Aisha Kamara,Direct Sales,Completed
ORD-0029,2024-01-30,Mechanical Keyboard,Office,129.28,3,0,387.84,Central Africa,Chad,Patrick Nkosi,Online,Completed
ORD-0030,2024-09-28,Wireless Headphones,Electronics,97.9,8,10,704.88,East Africa,Ethiopia,Fatima Hassan,Online,Pending
ORD-0031,2024-04-30,Bluetooth Speaker,Electronics,63.07,10,0,630.7,West Africa,Nigeria,Grace Nakato,Online,Pending
ORD-0032,2024-12-02,Phone Case,Accessories,19.24,1,10,17.32,Central Africa,Angola,Patrick Nkosi,Wholesale,Completed
ORD-0033,2024-11-26,Phone Case,Accessories,19.38,5,5,92.05,North Africa,Morocco,Aisha Kamara,Direct Sales,Completed
ORD-0034,2024-02-21,Cable Organizer,Accessories,19.78,8,10,142.42,East Africa,Uganda,Kwame Mensah,Retail,Pending
ORD-0035,2024-03-21,USB-C Hub,Electronics,50.26,2,0,100.52,West Africa,Senegal,Ibrahim Traore,Wholesale,Pending
ORD-0036,2024-02-23,Portable Charger,Electronics,49.03,9,0,441.27,Central Africa,DRC,Fatima Hassan,Wholesale,Completed
ORD-0037,2024-04-17,Cable Organizer,Accessories,17.85,3,0,53.55,East Africa,Ethiopia,Samuel Mwangi,Retail,Completed
ORD-0038,2024-05-21,Desk Lamp,Office,36.57,1,0,36.57,Southern Africa,Zambia,Amara Diallo,Online,Completed
ORD-0039,2024-12-27,Portable Charger,Electronics,45.72,3,15,116.59,West Africa,Senegal,Grace Nakato,Online,Completed
ORD-0040,2024-10-09,Bluetooth Speaker,Electronics,60.31,1,20,48.25,West Africa,Cameroon,Fatima Hassan,Direct Sales,Completed
ORD-0041,2024-05-07,Wireless Headphones,Electronics,88.33,1,0,88.33,North Africa,Tunisia,Kwame Mensah,Wholesale,Pending
ORD-0042,2024-03-31,Cable Organizer,Accessories,19.42,3,0,58.26,Southern Africa,Botswana,Grace Nakato,Online,Completed
ORD-0043,2024-12-25,Mouse Pad XL,Office,24.34,4,0,97.36,North Africa,Algeria,Kwame Mensah,Direct Sales,Completed
ORD-0044,2024-06-28,Screen Cleaner Kit,Accessories,14.13,4,20,45.22,Southern Africa,Zimbabwe,Aisha Kamara,Retail,Completed
ORD-0045,2024-05-22,Wireless Headphones,Electronics,97.16,6,0,582.96,West Africa,Ivory Coast,Samuel Mwangi,Direct Sales,Pending
ORD-0046,2024-05-15,Laptop Stand,Office,41.47,5,0,207.35,East Africa,Uganda,Amara Diallo,Online,Pending
